Sr. No,Title,Company,City,CTC,Exp,Rating,Reviews
0,Data Science Analyst-Insurance Data Sciences,Xceedance,Gurugram,350000,0,3.8,142
1,BUSINESS ANALYST -DATA SCIENCE-CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,Bengaluru,350000,1,3.6,41
2,Data Science Analyst,JPMorgan Services India Pvt. Ltd,Bengaluru,650000,4,4.1,2017
3,Data Science Analyst 2,Epsilon,Bengaluru,350000,2,3.8,189
4,Team Lead/ Sr. Scientist- Analytics & Data Science,Global Analytics India Pvt. Ltd,NCR,650000,3,3.7,36
5,Python Developer with Data science Background,R Systems International Ltd.,Noida),650000,4,3.1,302
6,Artificial intelligence  and Data science Developer For Virtusa,Virtusa Consulting Services Pvt Ltd,Secunderabad,500000,4,3.4,1032
7,Data Science Associate Consultant,ZS Associates,Delhi,650000,3,3.8,387
8,Data Science,Capgemini Technology Services India Limited,Mumbai,950000,6,3.6,12372
9,Data Science Consultant,ZS Associates,Delhi,950000,5,3.8,387
10,Urgently hiring For Data science Analysts - Pune - 4+ Yrs,FIS Global Business Solutions India Pvt. Ltd.,Remote,500000,4,4.0,1831
11,Opening For Data Data Science Analyst  & Data Analyst,Motilal Oswal Financial Services,Remote,800000,5,3.5,557
0,ORD Data Science,	Morgan Stanley Advantage Services,Mumbai,350000,2,3.6,263
1,Asst.Director -Data Science,Spectral Consultants,Bengaluru,950000,6,5.0,2
2,Data Science,Luxoft,Secunderabad,650000,3,4.4,67
3,Data Science Engineer,IBM India Pvt. Limited,Bengaluru,950000,6,4.0,9850
4,Development Engineer - Data Science,Signify,Bengaluru,1250000,7,4.1,256
5,Data Science Intern,newAmps consulting pvt. ltd.,Kolkata,350000,0,3.0,6
6,Data Science Intern,newAmps consulting pvt. ltd.,Kolkata,350000,0,3.0,6
7,Data Science / Machine Learning stream project intern,Vikatan,Chennai,350000,0,4.6,22
8,Consultant / Senior Consultant - Data Science,AbsolutData Research Analytics Solutions Pvt. Lt,Gurgaon,650000,4,2.5,32
9,Data Science Lead/Sr Data Science Lead,Maven Wave,Gurugram,950000,6,4.5,9
10,Analyst-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,650000,3,4.0,18231
0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,650000,3,4.0,18231
1,Senior Big Data Engineer (Data Science/ML),Integral Ad Science,Pune,650000,3,4.0,2
2,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Secunderabad,950000,5,4.0,18231
3,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Mumbai,950000,5,4.0,18231
4,"Senior Analyst, Data Science",TTEC,telangana,350000,2,4.2,467
5,Technical Lead -- Data Science,Mindtree Limited,Bengaluru,1250000,8,4.0,1677
6,SCM - DATA SCIENCE,BRIDGEi2i Analytics Solutions Private Limited,Bengaluru,650000,3,3.6,41
7,Manager - Data Science,GO-JEK India,Bengaluru,1250000,8,4.4,5
