Sr. No,Title,Company,City,CTC,Exp,Rating,Reviews
0,Data Science,Capgemini Technology Services India Limited,Mumbai,650000,4,3.6,12372
1,Data Science - B1,Capgemini Technology Services India Limited,Mumbai,350000,2,3.6,12372
2,Analyst-Data Science,Accenture Solutions Pvt Ltd,Mumbai,650000,3,4.0,18231
3,Analyst-Data Science,Accenture Solutions Pvt Ltd,Mumbai,650000,3,4.0,18231
4,Data Science Advanced Application Engineer,Accenture Solutions Pvt Ltd,Bengaluru,1250000,8,4.0,18231
5,Data Science Advanced Application Engineer,Accenture Solutions Pvt Ltd,Bengaluru,950000,6,4.0,18231
6,Data Science Manager,Infosenseglobal,Pune,1250000,8,2.8,19
7,Manager Data Science,Reliance Jio Infocomm Ltd.,Bengaluru,950000,5,4.0,9955
8,Data Science Architect (ML/NLP) - Referral,Quality Engineering  Software Technologies Pvt. Ltd.,Thiruvananthapuram,950000,6,3.3,731
9,Data Science Engineer - Statistical Modeling/ Machine Learning,Lera Technologies Pvt. Ltd,India,1250000,7,3.7,9
10,Application Developer Sr. Data Science,RGF Professional Recruitment,Gurgaon,950000,6,2.8,3
11,Data Science Consultant,ZS Associates,Pune,950000,5,3.8,387
12,Data Science Associate Consultant,ZS Associates,Pune,650000,3,3.8,387
