Sr. No,Title,Rating,Company,City
0,Data science Managers - Immediate Joiners,3.4,Virtusa Consulting Services Pvt Ltd,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
1,Machine Learning & Automation Expert - Data Science,4.0,GENPACT India Private Limited,"Gurgaon/Gurugram, Bangalore/Bengaluru"
2,Data Science/analysis Expert - Machine Learning,2.9,Catalyst,Bangalore
3,Data Science - Intern,3.6,Mindworksglobal,Noida
4,Associate Professional Data Sciences,3.5,DXC Technology,Bangalore
5,Cluster Manager - Data Science & Engineering Unit,4.1,Bajaj Finserv,Pune
6,Data Science,3.6,Capgemini Technology Services India Limited,Mumbai
7,Senior Expert Data Science - Novartis,4.2,Novartis Healthcare Pvt. Ltd.,Hyderabad
8,Data Science -- Senior Project Manager,4.0,Mindtree Limited,Bangalore
9,Senior Project Manager -- Data Science,4.0,Mindtree Limited,Bangalore
10,Senior Data Science Engineer,4.1,NetApp,Bangalore
11,Senior Project Manager -- Data Science,4.0,Mindtree Limited,Bangalore
0,Data Science Engineer,4.1,IBM India Pvt. Limited,Bangalore
1,Data Science Engineer,4.1,IBM India Pvt. Limited,Bangalore
2,Data Science Engineer,4.1,IBM India Pvt. Limited,Bangalore
3,Data Science Engineer,4.1,IBM India Pvt. Limited,Bangalore
4,Data Science Engineer,4.1,IBM India Pvt. Limited,Bangalore
5,Data Science Engineer,4.1,IBM India Pvt. Limited,Bangalore
6,Data Science Associate Manager,4.0,Accenture Solutions Pvt Ltd,India
7,Analytics - Data science,3.4,Varite,"Kolkata, Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"
8,"Data Engineer-Azure Data Lake - SQL (healthcare, Life Science)",4.1,Contactx Resource Management Pvt. Ltd.,Bangalore
9,Technical Lead -- Data Science,4.0,Mindtree Limited,Bangalore
10,Analyst - Data Science,3.9,Nuware  Systems Pvt Ltd,Bengaluru
11,Openings For Data Science Specialist in CDM Smith l Bangalore,4.3,CDM SMITH GLOBAL SERVICES INDIA LLP,Bangalore
12,Data Science Analyst 2,3.8,Epsilon,Bangalore
13,Data Science Lead,4.0,NatWest Markets,Bengaluru
14,Data Science Lead,3.8,NatWest Group,Bengaluru
15,Manager - Data Science,4.4,GO-JEK India,Bengaluru
0,Analyst (Data Science),4.1,Bloom Consulting Services,Bengaluru
1,Artificial Intelligence/Machine learning/Data Science,3.0,Spectrum Consultants India Pvt Ltd.,Bengaluru
2,Artificial Intelligence/Machine learning/Data Science,3.0,Spectrum Consultants India Pvt Ltd.,Bengaluru
3,Artificial Intelligence/Machine learning/Data Science,3.0,Spectrum Consultants India Pvt Ltd.,Bangalore
4,Data Science Application Lead,4.0,Accenture Solutions Pvt Ltd,Bangalore
5,Senior Software Engineer  -  Data Science and Machine Learning,4.4,VSH SOLUTIONS PRIVATE LIMITED,Pune
6,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
7,Artificial Intelligence/Machine learning/Data Science,3.0,Spectrum Consultants India Pvt Ltd.,Bengaluru
8,Data Science Intern,4.2,DataTrained,"Noida, Bangalore/Bengaluru"
9,Manager - Strategic Analytics & Data Science,4.4,Hindustan Coca Cola Beverages Pvt Ltd,Bangalore
10,Data Science Engineer - Statistical Modeling/ Machine Learning,3.7,Lera Technologies Pvt. Ltd,India
