Sr. No,Title,Rating,Company,City
0,Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
1,Data Science Practice Manager,4.4,Suyati Technologies Pvt Ltd,"Kochi/Cochin, Bangalore/Bengaluru"
2,Assistant Manager - Data Science,4.0,Gladwin Analytics,"Mumbai, Bengaluru"
3,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
4,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
5,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
6,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
7,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
8,Data Science Consultant,3.7,Burgeon IT Services Pvt ltd,Bengaluru
9,Data Science Quality Assessment Engineer,4.2,Perform Group,Bangalore
10,Data Science Lead,2.5,D Cube Analytics,Bangalore
11,Consultant / Senior Consultant - Data Science,2.5,AbsolutData Research Analytics Solutions Pvt. Lt,"Pune, Gurgaon"
12,Asst.Director -Data Science,5.0,Spectral Consultants,"Noida, Gurgaon/Gurugram, Bangalore/Bengaluru"
